序号,功能域,Demo功能点,业务价值,Demo优先级,是否纳入快速Demo,AI负责（自动化）,人工必须输入/决策,前置依赖/输入物,预计时长(分钟),演示效果,追溯task.csv
F01,数据的迁移,结构化批量导入,退役库一键入湖 1:1 原样,P0,必演,"JDBC并行抽取→类型推断→Iceberg写入→进度轮询→校验","提供源库连接、勾选表清单、确认字段映射、点击开始同步",源库CRM_V1 2表各500行,3,进度条SUCCESS 500/500 一致可查,P1-001/004/005-007
F02,数据的迁移,非结构化/离线包导入,附件不丢 断点续传,P1,增强,分片上传/断点续传/压缩包解析/原始属性保留,拖拽上传20附件 观察重传,20个样本附件,1,20/20 成功 属性保留,P1-002
F03,元数据管理,Schema Registry自动探测与配置,零代码适配新系统,P0,必演,discover探测表结构→推荐别名/queryType/isPii/listWidth,确认中文别名 调整控件类型 标记敏感字段,F01已导入,2,JSON配置页 AI推荐与人工确认,P1-003/008
F04,元数据管理·搜索,关键词/系统/时间检索,QA自助查询,P0,必演,动态表单渲染 SQL生成(白名单+参数化) UC掩码 分页排序,选择系统/表 输入关键词+时间 搜索,F03已配置,2,列表返回 敏感打码, P1-013~016
F05,数据列表展示,一对多（订单头→订单行）联动,还原业务关联,P0,必演,主表点击携带order_id自动查子表 动态列渲染(金额¥ 日期格式化),配置外键showInList列,F03外键已配,2,点击头行联动5行明细,P1-008
F06,附件预览,SAS在线预览PDF/图片/Office,无需下载 15分钟安全,P0,必演,后端校验RBAC+路径+审计→签发SAS URL(15min)→前端渲染,点击预览 观察过期,附件已导入,1.5,PDF/图片预览 15min后失效,P1-017
F07,定期删除,保留期到期+Legal Hold,合规到期处置 涉诉冻结,P0,必演,自动计算destroy_after_date 到期扫描 生成清单,配置retention_years 调整为7天演示 确认销毁 演示冻结,F01已归档,2,红色到期提醒 冻结拦截,Phase2 P2-014/021
F08,操作记录日志追踪,导入/查询/预览/导出全链路审计,审计可追 责任到人,P0,必演,AOP自动埋点sys_audit_log(用户/时间/对象/IP/耗时)聚合统计,筛选条件 导出Excel,前序操作已产生,2,日志实时出现 导出Excel,P1-018~020
F09,权限与治理,基础RBAC+行/字段级预览,不同角色不同视图,P1,增强,sys_role_system映射→UC GRANT+Column Mask生效,切换VIEWER登录验证脱敏,预置2角色,1,ADMIN全 VIEWER脱敏***,P1-025/026
F10,台账与报表,按系统/时间/类型统计+导出,一键台账,P1,增强,聚合row_count/data_size→趋势图→导出Excel/PDF,选择统计维度 点击导出,F01数据,1,柱状图+报表文件,P1-021~024
