阶段,功能模块,业务场景,关键功能,具体功能,功能描述
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,退役系统历史数据全量入库归档,历史数据批量导入,结构化历史数据批量导入,支持从退役系统批量提取结构化历史数据，并按照既定迁移范围和映射规则导入RIMS。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,退役系统历史数据全量入库归档,历史数据批量导入,非结构化文件及离线包批量导入,支持从多种文件来源和离线介质批量导入附件、普通文件、数据库备份包及压缩归档包，并保障大文件及传输中断场景下的可靠导入、原始属性保留和文件包解析。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,退役系统历史数据全量入库归档,迁移规则配置,数据导入规则配置,面向退役系统迁移项目，配置源数据与RIMS标准字段的对应关系、格式转换和校验规则，并在导入过程中执行。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,退役系统历史数据全量入库归档,迁移任务管理,导入任务调度与监控,支持迁移项目和迁移批次的任务安排、进度跟踪、异常提示及问题处理。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,确保迁移过程数据完整可追溯,迁移完整性校验,迁移前完整性基准记录,在迁移前记录文件或数据集的完整性校验信息，作为迁移完成后的比对基准。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,确保迁移过程数据完整可追溯,迁移完整性校验,迁移后完整性比对,迁移完成后对源端与目标端数据进行完整性比对，识别缺失、损坏或异常变更。
Phase1：基础归档与查询,模块 1：存量历史数据迁移与标准化,确保迁移过程数据完整可追溯,迁移完整性校验,迁移一致性报告,自动生成迁移前后数据数量、字段、版本的对比报告。
Phase1：基础归档与查询,模块 3：记录归档与档案全生命周期管理,异构数据统一归档至标准档案模型,标准归档模型管理,标准归档对象定义,定义记录、附件、版本及其关联关系等标准归档对象结构，并明确归档对象如何引用统一元数据模型中的字段。
Phase1：基础归档与查询,模块 3：记录归档与档案全生命周期管理,异构数据统一归档至标准档案模型,标准归档模型管理,归档目录结构管理,基于企业模板和业务类型生成标准化归档目录，建立章节层级、文件夹结构及预留位置。
Phase1：基础归档与查询,模块 4：数据存储与境内数据安全管控,满足数据不出境和本地化合规要求,境内数据驻留管理,境内数据驻留部署,确保RIMS元数据、业务数据及相关副本在符合要求的中国境内环境中存储和处理。
Phase1：基础归档与查询,模块 4：数据存储与境内数据安全管控,满足数据不出境和本地化合规要求,数据加密与密钥管理,数据加密存储,支持归档数据在存储和传输过程中的加密保护，防止未授权读取和数据泄露。
Phase1：基础归档与查询,模块 4：数据存储与境内数据安全管控,满足数据不出境和本地化合规要求,数据加密与密钥管理,密钥管理,支持加密密钥的创建、保管、更新、权限控制和操作审计。
Phase1：基础归档与查询,模块 5：档案检索、智能发现与业务利用,QA/IT人员日常基础数据查阅,基础档案检索,关键词检索,支持对归档记录标题、元数据、OCR文本进行关键词检索。
Phase1：基础归档与查询,模块 5：档案检索、智能发现与业务利用,QA/IT人员日常基础数据查阅,基础档案检索,按系统名称检索,支持按来源系统名称筛选和检索对应归档数据。
Phase1：基础归档与查询,模块 5：档案检索、智能发现与业务利用,QA/IT人员日常基础数据查阅,基础档案检索,按业务时间检索,支持按创建时间、修改时间、业务发生时间等时间维度检索。
Phase1：基础归档与查询,模块 5：档案检索、智能发现与业务利用,QA/IT人员日常基础数据查阅,检索结果展示与预览,检索结果列表展示,以列表形式展示检索结果，支持结果分批查看、排序和关键字段展示。
Phase1：基础归档与查询,模块 5：档案检索、智能发现与业务利用,QA/IT人员日常基础数据查阅,检索结果展示与预览,原始文件在线预览,支持常见文档、图片及办公文件在线预览，无需下载即可查看内容。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,基础运维核查与简易审计调取,用户操作审计追踪,归档操作日志记录,记录数据导入、上传、归档、修改、删除等操作，包含用户、时间、对象、结果。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,基础运维核查与简易审计调取,用户操作审计追踪,查询操作日志记录,记录用户的检索、查看、预览行为，支持审计追溯。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,基础运维核查与简易审计调取,用户操作审计追踪,导出操作日志记录,记录数据导出行为，包含导出范围、导出时间、导出人和下载IP。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,退役系统归档数据统一台账,归档统计与基础报表,按系统统计归档数据量,统计各来源系统的归档记录数、存储容量、附件数量。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,退役系统归档数据统一台账,归档统计与基础报表,按时间统计归档数据量,按年/月/季度统计归档数据增长趋势。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,退役系统归档数据统一台账,归档统计与基础报表,按数据类型统计归档量,区分结构化数据、非结构化文档、附件等类型进行统计。
Phase1：基础归档与查询,模块 6：合规管控、审计追踪与合规报表,退役系统归档数据统一台账,归档统计与基础报表,基础报表导出,支持台账统计报表导出为Excel/PDF格式。
Phase1：基础归档与查询,模块 8：系统全局治理、运维与监控,基础运维核查与简易审计调取,用户与角色管理,基础角色权限配置,配置管理员、查询员、审计员等基础角色，并按角色统一分配菜单权限、数据范围、记录类型和操作权限。
Phase1：基础归档与查询,模块 8：系统全局治理、运维与监控,基础运维核查与简易审计调取,用户与角色管理,用户账号管理,支持本地账号创建、启用/禁用、密码重置、账号有效期管理。
